id,loan_amnt,term,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,active_credit,emp_title,purpose,zip_code,addr_state
1,80000,240,1500,4,4,0,214000,0,0,30,18,0,12228.83,47.3,27.12,1,2,FLEET ADMINISTRATOR,credit_card,600xx,IL
2,210000,240,3500,3,8,1,406000,1,0,10,14.89,0,20646,85.7,28.88,1,-2,Attorney,debt_consolidation,113xx,NY
3,160000,300,2100,5,10,1,292000,1,0,20,4,0,6806,86.82,13.88,1,3,Chief Boatswain ,debt_consolidation,967xx,HI
4,50000,240,800,2,7,0,112000,1,1,20,5,0.01,4338.17,84.78,26.88,0,336,Secretary/Bookkeeper,debt_consolidation,857xx,AZ
5,100000,240,1500,1,9,0,469000,0,1,20,16.05,0,31004.65,31.08,39.76,1,385,RN,debt_consolidation,305xx,GA
6,60000,240,900,2,6,1,151000,1,1,30,13.05,0,7381,75.08,17.24,0,8,woonsocket health center,credit_card,028xx,RI
7,80000,240,1200,2,1,1,369000,1,0,10,9.95,0.01,1039.35,9.46,19.76,0,340,ReachLocal,debt_consolidation,531xx,WI
8,130000,240,2100,2,9,1,231000,1,0,30,6,0,11502.65,48.52,19.88,0,-4,Chief Petty Officer,credit_card,380xx,TN
9,150000,240,2300,1,4,1,540000,1,1,10,21.89,0,2232.17,2.74,41.12,1,370,Sr. EDI Analyst,debt_consolidation,328xx,FL
10,180000,300,1900,2,1,0,506000,0,0,20,10.89,0.99,4296.83,33.5,31.12,1,269,IT Project Manager,debt_consolidation,633xx,MO
11,300000,300,3500,3,1,0,634000,1,1,30,8.11,0.01,94127.17,-0.12,28.35,0,391,Sales Manager South America,debt_consolidation,330xx,FL
12,160000,300,1900,3,9,0,263000,1,0,20,12.11,0.01,8968.17,56.52,31.12,1,2,MERCHANDIZING SPECIALIST,debt_consolidation,275xx,NC
