id,loan_amnt,term,installment,grade,emp_length,home_ownership,annual_inc,verification_status,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,active_credit,emp_title,purpose,zip_code,addr_state,loan_status
2206,40000,300,500,3,3,1,175000,1,10,5.11,0.01,517.52,30.5,8.24,0,320,Arch Personal Care,other,071xx,NJ,0
4858,250000,300,3200,4,1,0,694000,1,20,17.16,0,28707,93.68,34.76,0,384,ProUnlimited,debt_consolidation,088xx,NJ,0
6688,250000,300,2900,3,10,1,274000,1,20,8.84,-0.01,34826.83,41.42,16.24,0,316,UNITED STATES POSTAL SERVICE,credit_card,105xx,NY,0
6294,60000,240,1100,5,8,0,280000,1,20,13.05,0.01,8536.35,36.78,16.88,1,-7,Division Manager,debt_consolidation,786xx,TX,0
5170,20000,240,300,1,10,1,186000,1,20,2.16,-0.01,-106.91,0.24,7.24,0,281,smiths medical,other,551xx,MN,1
3314,120000,240,1900,1,9,2,281000,0,20,13.16,0.01,5436.17,12.16,33,1,434,electromechanical assembler,debt_consolidation,151xx,PA,1
5618,140000,240,2400,4,10,0,313000,1,10,16.11,0.01,2047,97.5,24.24,0,276,General Star Management Company,small_business,069xx,CT,0
7428,240000,240,4100,3,10,0,675000,1,10,8.89,0.01,26361,72.49,12.24,0,295,Information Resources,debt_consolidation,606xx,IL,0
2239,80000,240,1400,4,4,0,203000,1,10,5.95,0.01,6520.17,91.24,6.24,0,5,Order filler,house,349xx,FL,0
1404,50000,240,800,1,10,0,275000,1,0,3.89,0,1483.83,32.36,19.88,0,2,Dirt Work Supervisor,debt_consolidation,472xx,IN,1
4960,180000,300,2600,6,2,1,238000,1,30,9,-0.01,5429.65,38.26,19,1,334,Accu-Serve Process ,other,117xx,NY,0
5561,110000,240,1900,3,1,0,130000,0,20,14.84,0.01,9067.48,49.48,29,1,317,Receptionist,debt_consolidation,741xx,OK,0
3892,30000,240,500,1,4,0,198000,0,0,10.05,0.01,1961.17,9.54,10.24,1,0,Seller,credit_card,331xx,FL,1
3054,240000,300,3200,5,2,1,369000,1,30,40.95,-0.01,39551.83,51.76,66.88,0,0,Accountant,debt_consolidation,114xx,NY,0
4832,350000,300,5000,6,10,0,489000,1,20,12.16,0.01,19671.35,77.84,19,1,419,LAUSD,credit_card,913xx,CA,0
3008,120000,240,1800,1,10,0,279000,0,10,23,0,15264.52,32.61,48,1,1,developer ii,debt_consolidation,450xx,OH,1
3253,120000,240,1800,1,5,0,296000,1,20,11,0,9852.52,57.24,17.12,0,0,Budget Analyst,credit_card,210xx,MD,1
1304,120000,240,1900,2,10,0,343000,0,10,11.95,0.01,11321.35,49.52,21.88,1,5,Integrated Systems Mechanic,credit_card,310xx,GA,0
7414,280000,300,3600,5,3,1,606000,1,10,13.11,-0.01,19785.52,67.44,26.12,1,0,registered nirse,debt_consolidation,088xx,NJ,0
1324,200000,240,3300,2,10,0,544000,1,10,14.11,1,64385.48,66.66,24.24,0,308,Police/Fire Dispatcher ,debt_consolidation,201xx,VA,1
326,80000,240,1200,1,9,0,349000,0,10,14,0.01,6886,42.5,22.12,1,357,Architect,debt_consolidation,276xx,NC,1
7490,210000,300,2600,4,10,0,503000,1,20,7.84,0.01,5513.83,62.31,22.24,0,343,Supervisor - NERC Compliance,debt_consolidation,713xx,LA,0
826,300000,240,5600,5,10,0,444000,1,30,11.95,0,19773,65.68,34.88,1,498,Sales Manager,debt_consolidation,841xx,UT,0
4230,120000,240,1800,1,2,0,631000,0,10,11.95,0,22704.65,23.68,31.88,1,283,Consultant,debt_consolidation,951xx,CA,1
720,100000,300,1200,3,7,1,140000,0,30,7.11,0.01,5773.35,37.1,20.88,1,0,District Manager ,credit_card,658xx,MO,0
3101,120000,300,1200,1,10,0,422000,1,30,10.11,0,5720.65,8.04,15.12,1,414,RN,debt_consolidation,710xx,LA,1
6706,80000,240,1400,4,2,1,444000,1,30,15.84,0.01,17855.52,60.92,19.88,1,2,Hudson View Care and Rehab Center,other,070xx,NJ,0
4907,190000,240,3500,4,4,0,269000,1,20,9.89,1,6583,59.3,27.88,0,0,Product Quality Manager,debt_consolidation,973xx,OR,0
1204,120000,240,1900,1,2,0,447000,1,20,21.95,0,24588.65,28.44,49.76,0,293,Sr.Medical Economics Analyst,debt_consolidation,019xx,MA,1
2097,80000,240,1400,2,5,1,126000,1,30,6,0,6549.83,69.6,39.24,0,311,driver,credit_card,328xx,FL,1
8833,150000,300,1800,4,10,1,281000,1,20,18,0.01,4637,25.84,32.76,0,446,us postal services,debt_consolidation,117xx,NY,0
2875,150000,240,2600,3,6,0,694000,0,10,10.89,-0.01,14100.65,49.91,44,0,284,JC Restoration,debt_consolidation,601xx,IL,0
3078,170000,240,2800,2,9,2,494000,1,10,9,0.01,13585.17,63.96,23.88,1,-1,fire sprinkler fitter,debt_consolidation,982xx,WA,1
2492,150000,240,2500,2,1,1,257000,0,10,8.95,0,13202,76.54,19.88,0,471,Executive assistant,credit_card,532xx,WI,1
7991,100000,240,1700,4,1,1,225000,1,20,8.95,0.01,13788.83,73.8,13,0,-7,Mabrie Facial Cosmetic,debt_consolidation,945xx,CA,0
8857,110000,240,1900,3,10,1,170000,0,30,7.11,0,20626.83,94.9,13.88,1,-2,wells fargo bank,debt_consolidation,926xx,CA,0
4777,110000,240,1800,2,5,0,322000,1,10,9.16,0,23513.35,56.36,17.35,1,550,TSYS Acquiring,debt_consolidation,852xx,AZ,1
3127,200000,240,3300,3,3,1,303000,1,30,31.84,-0.01,26009.17,22.96,41.35,1,0,Assurance Services Senior,debt_consolidation,441xx,OH,0
7251,50000,240,800,3,10,1,132000,0,10,9.11,0.01,39877.17,33.2,15.76,0,316,King Soopers,major_purchase,802xx,CO,0
8828,150000,240,2700,4,2,0,365000,0,30,27.95,-0.01,17602.17,22.14,33.76,0,475,"Wastvedt & Company, Inc.",debt_consolidation,920xx,CA,0
8050,30000,240,500,2,4,1,404000,1,10,7.89,0,2619.52,44.82,13,0,8,Project Renewal,debt_consolidation,104xx,NY,0
7968,150000,240,2300,1,2,1,450000,0,10,12.84,0,1241,4.42,17,1,9,Unix System Administrator,vacation,891xx,NV,1
6960,80000,240,1400,3,1,1,225000,1,10,13,0,3345.83,48.21,28.12,1,-8,Kermdinger Studios LLC,debt_consolidation,951xx,CA,0
1676,160000,300,2000,4,10,1,253000,1,30,17.11,-0.01,16171.35,33.52,30,1,274,Staffing,credit_card,070xx,NJ,0
